Id	Name	Formula	EC
R04343	UDP-D-galacturonate:1,4-alpha-poly-D-galacturonate 4-alpha-D-galacturonosyltransferase	C00617 + C00470 <=> C00015 + C00470	2.4.1.43
R04340	thiomorpholine-3-carboxylate:NADP+ 5,6-oxidoreductase	C03901 + C00006 <=> C04445 + C00005 + C00080	1.5.1.25
R04341	alpha-N-Peptidyl-L-glutamine amidohydrolase	C03905 + C00001 <=> C03904 + C00014	3.5.1.43
R10688		C20776 + C00001 <=> C12270 + C00025	3.4.17.21
R10689		C18028 + C00001 <=> C01720	3.1.1.-
R10682		C15802 + 3 C00007 + 3 C03024 <=> C08814 + 4 C00001 + 3 C03161	1.14.-.-
R10683		C15801 + 3 C00007 + 3 C03024 <=> C17735 + 4 C00001 + 3 C03161	1.14.-.-
R10680	S-adenosyl-L-methionine:(+/-)-pavine N-methyltransferase	C00019 + C20771 <=> C00021 + C20770	2.1.1.300
R10681	anthraniloyl-CoA:methanol O-anthraniloyltransferase	C02247 + C00132 <=> C00010 + C20634	2.3.1.232
R10686		C00018 + C00135 <=> C04556	
R10687		C12270 + C00001 <=> C01042 + C00025	3.4.17.21
R10684		C15799 + 3 C00007 + 3 C03024 <=> C17733 + 4 C00001 + 3 C03161	1.14.-.-
R10685		C00003 + C00037 + C17023 <=> C20784 + C00153 + 3 C00001	
R09107	N-acetyl-L-citrulline amidohydrolase	C15532 + C00001 <=> C00033 + C00327	3.5.1.16
R09106	feruloyl-CoA:16-hydroxypalmitate feruloyltransferase	C00406 + C18218 <=> C00010 + C18217	2.3.1.188
R09105		C18216 + C00001 <=> C00156 + C00530	3.1.1.-
R09104		C14220 <=> C18216	1.14.-.-
R09103		C18215 <=> C14220	1.1.-.-
R08875	methylcobalamin:N-acetyldemethylphosphinothricin-tripeptide P-methyltransferase	C17950 + C06453 + C00019 + C00080 + C05359 <=> C17951 + C00541 + C05198 + C00073	
R09102		C14298 <=> C18215	1.14.-.-
R09100		C00354 <=> C00197	
R01859	propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	C00002 + C00100 + C00288 <=> C00008 + C00009 + C00683	6.4.1.3
R01858	dGTP:pyruvate 2-O-phosphotransferase	C00286 + C00022 <=> C00361 + C00074	2.7.1.40
R10532	L-galactonate hydro-lyase (2-dehydro-3-deoxy-L-galactonate-forming)	C15930 <=> C20680 + C00001	4.2.1.146
R10533	geranylgeranyl-diphosphate diphosphate-lyase [(E,E)-geranyllinalool-forming]	C00353 + C00001 <=> C20681 + C00013	4.2.3.144
R10534	carbon-disulfide hydrogen-sulfide-lyase (carbonyl-sulfide-forming)	C19033 + C00001 <=> C07331 + C00283	4.4.1.27
R10535	carbonyl-sulfide hydrogen-sulfide-lyase (decarboxylating)	C07331 + C00001 <=> C00011 + C00283	4.4.1.27
R10536	dTDP-alpha-D-fucopyranose furanomutase	C07277 <=> C20682	5.4.99.59
R10537	RNA-3'-phosphate:RNA ligase (cyclizing, GMP-forming)	C00044 + C03638 <=> C00144 + C00013 + C04312	6.5.1.5
R01851	Methanethiol:oxygen oxidoreductase	C00409 + C00007 + C00001 <=> C00283 + C00067 + C00027	1.8.3.4
R01850	acetyl-CoA:hydrogen-sulfide S-acetyltransferase	C00024 + C00283 <=> C00010 + C01857	2.3.1.10
R01853	RCH2NH2:oxygen oxidoreductase(deaminating)(flavin-containing);	C00375 + C00001 + C00007 <=> C00071 + C00014 + C00027	1.4.3.4         1.4.3.21
R01855	2'-Deoxyguanosine 5'-triphosphate diphosphohydrolase	C00286 + C00001 <=> C00362 + C00013	3.6.1.19
R01854	RCH2NH2:acceptor oxidoreductase (deaminating);	C00375 + C00001 + C00028 <=> C00071 + C00014 + C00030	
R01857	ATP:dGDP phosphotransferase	C00002 + C00361 <=> C00008 + C00286	2.7.4.6
R01856	dGTP triphosphohydrolase	C00286 + C00001 <=> C00330 + C00536	3.1.5.1
R05169	Methylenediurea aminohydrolase	C06381 + 2 C00001 <=> C06384 + C00011 + 2 C00014	3.5.3.21
R05168	N-acetyl-D-galactosamine 6-phosphate amidohydrolase	C06376 + C00001 <=> C06377 + C00033	3.5.1.25
R05163	Hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6'''-O-hydroxycinnamoyltransferase	C06362 + C06361 <=> C00010 + C06363	2.3.1.153
R05162	S-Adenosyl-L-methionine:(RS)-norcoclaurine 6-O-methyltransferase	C00019 + C06346 <=> C00021 + C06348	2.1.1.128
R05165	1-Carboxyvinyl carboxyphosphonate phosphorylmutase (decarboxylating)	C06367 <=> C06368 + C00011	2.7.8.23
R05164	UDP-glucose:1,2-diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol (1->2) glucosyltransferase	C00029 + C06364 <=> C00015 + C06365	2.4.1.208
R05167	Phthalyl-amide amidohydrolase	C06374 + C00001 <=> C01606 + C00706	3.5.1.79
R05166	lacto-N-tetraose lacto-N-biosylhydrolase	C06371 + C00001 <=> C06372 + C00243	3.2.1.140
R07101		C14866 + C00001 <=> C06899	
R07100	trichloroethene:glutathione S-(1,2-dichlorovinyl)transferase	C06790 + C00051 <=> C14868 + C01327	2.5.1.18
R07103		C14867 <=> C11149	
R07102		C11148 <=> C14867	
R07105	trichloroethanol:NAD+ oxidoreductase	C06899 + C00004 + C00080 <=> C07490 + C00003 + C00001	1.1.1.1
R07104	Chloral:NAD(P)+ oxidoreductase	C06899 + C00003 <=> C11150 + C00004 + C00080	1.2.1.5
R07107	Trichloroethanol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)	C07490 + 2 C00005 + 2 C00007 + 2 C00080 <=> C11150 + 2 C00006 + 3 C00001	1.14.13.-
R07106	UDP-glucuronate beta-D-glucuronosyltransferase	C07490 + C00167 <=> C14869 + C00015	2.4.1.17
R07109	11,12-EET hydrolase	C14770 + C00001 <=> C14774	3.3.2.10
R07108	14,15-EET hydrolase	C14771 + C00001 <=> C14775	3.3.2.10
R07455		C15799 + 2 C00007 + 2 C03024 <=> C15791 + 3 C00001 + 2 C03161	1.14.-.-
R07454	Campesterol,NADPH:brassinosteroid C22alpha-hydroxylase	C15787 + C00007 + C00005 <=> C15798 + C00006 + C00001	1.14.13.-
R07453	5alpha-Campestan-3-one,NADPH:brassinosteroid C22alpha-hydroxylase	C15786 + C00007 + C00005 <=> C15797 + C00006 + C00001	1.14.13.-
R07452	Campest-4-en-3-one,NADPH:brassinosteroid C22alpha-hydroxylase	C15785 + C00007 + C00005 <=> C15796 + C00006 + C00001	1.14.13.-
R07451		C15803 + C00007 + C03024 <=> C15794 + 2 C00001 + C03161	1.14.-.-
R07450		C15802 + C00007 + C03024 <=> C15803 + C00001 + C03161	1.14.-.-
R06854		C07103 <=> C00472 + C00001	1.1.-.-
R06855		C12836 <=> C06755 + C00042	
R06856		C06990 + C00007 + C00004 + C00080 <=> C12837 + C00003	1.14.12.-
R06857	cis-1,2-dihydrobenzene-1,2-diol:NAD+ oxidoreductase	C12837 + C00003 <=> C05618 + C00004 + C00080	1.3.1.19
R06850		C07092 <=> C06990	
R06851		C00530 + C00005 + C00080 + C00007 <=> C02814 + C00006 + C00001	1.14.13.-
R06852		C02372 + C00001 <=> C00472 + C00014	1.4.-.-
R06853		C02814 <=> C07103	1.1.-.-
R06858		C03657 + C05427 <=> C13309 + C00011 + C00013	2.5.1.-
R06859		C13309 + C00019 <=> C02059 + C00021	2.1.1.163
R08456		C06161 <=> C06516	
R08457		C06516 <=> C06533	
R08454		C16707 <=> C16713	
R08455		C16713 + C00019 <=> C16714 + C00021	2.1.1.-
R08452		C11250 <=> C16712	
R08453		C16712 <=> C07592	
R08450		C16709 <=> C16710	
R08451		C16710 + C00001 <=> C11250 + C00058	
R08458		C05176 + C05243 <=> C07547	
R08459		2 C05176 <=> C09654	
R03751	epsilon-Caprolactone lactonohydrolase	C01880 + C00001 <=> C06103	3.1.1.17
R03753	7beta-Hydroxysteroid:NADP+ 7-oxidoreductase	C02956 + C00006 <=> C01881 + C00005 + C00080	1.1.1.201
R03754	ATP:acylglycerol 3-phosphotransferase	C00002 + C15590 <=> C00008 + C03849	2.7.1.94
R03755	acyl-CoA:2-acylglycerol O-acyltransferase	C00040 + C01885 <=> C00010 + C00641	2.3.1.22
R03756	2,3-dehydroacyl-CoA:2-acylglycerol O-acyltransferase	C00605 + C01885 <=> C00010 + C00641	2.3.1.22
R03758		C01888 + C00011 <=> C03508	1.1.1.381
R03759	(R)-1-Aminopropan-2-ol:NAD+ oxidoreductase	C03194 + C00003 <=> C01888 + C00004 + C00080	1.1.1.75
R04908	5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)	C05638 + C00001 + C00007 <=> C05639 + C00014 + C00027 + C00001	1.4.3.4
R04909	5-Hydroxykynurenamine decarboxy-lyase	C05638 + C00011 <=> C05651	4.1.1.28
R04900	UDP-L-rhamnose:flavonol-3-O-D-glucoside L-rhamnosyltransferase	C05623 + C02199 <=> C05625 + C00015	2.4.1.159
R04901	(2S)-flavan-4-ol:NADP+ 4-oxidoreductase;	C05907 + C00006 <=> C05631 + C00005 + C00080	1.1.1.234
R04902	eriodictyol,NADPH:oxygen oxidoreductase	C05631 + C00005 + C00080 + C00007 <=> C05911 + C00006 + C00001	1.14.13.88
R04903	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase	C05634 + C00003 + C00001 <=> C05635 + C00080 + C00004	1.2.1.3
R04904	5-hydroxyindoleacetaldehyde:oxygen oxidoreductase	C05634 + C00007 + C00001 <=> C05635 + C00027	1.2.3.1
R04905	S-Adenosyl-L-methionine:N-acetylserotonin O-methyltransferase	C00019 + C05635 <=> C00021 + C05660	2.1.1.4
R04906		C05635 <=> C05832	6.3.2.-
R04907	3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)	C05636 + C00007 <=> C05637 + C00014 + C00027	1.4.3.4
R06223	squalene synthase	2 C00448 + C00005 + C00080 <=> C00751 + 2 C00013 + C00006	2.5.1.21
R06222		G10615 + G00084 <=> G10620 + G00085	2.4.1.-
R06221		G10615 + G00089 <=> G10620 + G00090	2.4.1.-
R06227		G10615 + G00081 <=> G10620 + G00082	2.4.1.-
R06226		G10608 + C00668 <=> G10619 + G09795	2.4.1.15
R06225		C00329 + G10536(n) <=> G10536(n+1) + C00001	3.2.1.165
R06224		G10615 + G00085 <=> G10620 + G00086	2.4.1.-
R06229		G00293 + C04261 <=> G09795 + C00615	2.7.1.69
R06228		G09795 + C00001 <=> G00293 + C00009	3.1.3.12
R10057	4,4-dimethyl-5alpha-cholest-7-en-3beta-ol,NADH:oxygen oxidoreductase (hydroxylating)	C04530 + 3 C00004 + 3 C00080 + 3 C00007 <=> C04840 + 3 C00003 + 4 C00001	1.14.13.72
R10056	protein-N6,N6-dimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase	C05545 + 2 C00026 + 2 C00007 <=> C02188 + 2 C00042 + 2 C00067 + 2 C00011	1.14.11.27
R10055	violaxanthin:ascorbate oxidoreductase	C08614 + 2 C00072 <=> C06098 + 2 C05422 + 2 C00001	1.23.5.1
R10054	L-lysine:NAD+ 6-oxidoreductase (deaminating)	C00047 + C00003 <=> C00450 + C00004 + C00080 + C00014	1.4.1.18
R10053	L-gulono-1,4-lactone:oxygen 3-oxidoreductase	C01040 + C00007 <=> C00072 + C00027	1.1.3.8
R10052	(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase	C04411 + C00003 <=> C00233 + C00011 + C00004 + C00080	1.1.1.85
R10051	bornane-2,6-dione hydrolase	C20320 + C00001 <=> C20324	3.7.1.18
R10050	2-oxopropanal:D-fructose 1-phosphate glycerone-phosphotransferase	C00546 + C01094 <=> C00577 + C16848	2.2.1.11
R08859	UDP-glucose:limonoate-A-ring-lactone glucosyltransferase	C16718 + C00029 <=> C06740 + C00015	2.4.1.210
R10059	L-tyrosine,iodide:NADP+ oxidoreductase (iodinating)	C00082 + 2 C00006 + 2 C00708 <=> C01060 + 2 C00005	1.21.1.1
R10058	4,4-dimethyl-5alpha-cholest-7-en-3beta-ol,NADPH:oxygen oxidoreductase (hydroxylating)	C04530 + 3 C00005 + 3 C00080 + 3 C00007 <=> C04840 + 3 C00006 + 4 C00001	1.14.13.72
R06178	[poly-N-acetyl-D-glucosaminyl-(1->4)-(N-acetyl-D-muramoylpentapeptide)]-diphosphoundecaprenol:[N-acetyl-D-glucosaminyl-(1->4)-N-acetyl-D-muramoylpentapeptide]-diphosphoundecaprenol polysaccharidetransferase	C05893 + C11826 <=> C04574 + C11826	2.4.1.129
R06177		G10555 + G10557(n) <=> C04574 + G10557(n+1)	2.4.1.129
R06176		C00002 + G00289 <=> G11113 + G10518	2.7.1.85
R06175		G10536(n+m) + C00001 <=> G10536(n) + G10536(m)	3.2.1.132
R10949		C00014 + C20969 <=> C01563 + C00009	6.3.5.5
R10948	ATP:HCO3- phosphotransferase	C00002 + C00288 <=> C00008 + C20969	6.3.5.5
R10239	malonyl-CoA:hexanoate malonyltransferase (norsolorinic acid anthrone-forming)	7 C00083 + C05749 <=> 7 C00010 + C20453 + C00229 + 7 C00011 + 2 C00001	2.3.1.221
R10238	malonyl-CoA:malonyl-CoA malonyltransferase (5,7-dihydroxy-2-methyl-4H-chromen-4-one-forming)	5 C00083 <=> 5 C00010 + C20462 + 5 C00011 + C00001	2.3.1.216
R10233	4-coumaroyl-CoA:malonyl-CoA 4-coumaryltransferase (bisdemethoxycurcumin-forming)	2 C00223 + C00083 + C00001 <=> 3 C00010 + C17743 + 2 C00011	2.3.1.211
R10232	tRNA(cytosine8) aminohydrolase	C17325 + C00001 <=> C00868 + C00014	3.5.4.35
R10231	tRNA(Ala)-adenine37 aminohydrolase	C20459 + C00001 <=> C20458 + C00014	3.5.4.34
R10230	hydroxylamine:oxygen oxidoreductase	C00192 + C00007 <=> C00088 + C00001 + C00080	1.7.3.6
R10237	4-hydroxycinnamoyl-CoA:anthocyanin-3-O-glucoside 6''-O-acyltransferase	C00223 + C15539 <=> C00010 + C20461	2.3.1.215
R10236	1-O-(4-hydroxycinnamoyl)-beta-D-glucose:cyanidin 3-O-(6-O-beta-D-glucosyl-2-O-beta-D-xylosyl-beta-D-galactoside) 6'''-O-(4-hydroxycinnamoyl)transferase	C16827 + C08612 <=> C00221 + C20460	2.3.1.213
R10235	deoxyinosine diphosphate phosphatase	C01344 + C00001 <=> C06196 + C00009	3.6.1.64
R10234	4-coumaroyl-CoA:malonyl-CoA 4-coumaryltransferase (4-hydroxybenzalacetone-forming)	C00223 + C00083 + C00001 <=> 2 C00010 + C12088 + 2 C00011	2.3.1.212
R01190	S-adenosyl-L-methionine:1D-myo-inositol 4-methyltransferase	C00019 + C00137 <=> C00021 + C06352	2.1.1.129
R01623	[Acyl-carrier-protein] 4'-pantetheine-phosphohydrolase	C00229 + C00001 <=> C01134 + C03688	3.1.4.14
R01620	acetyl-phosphate:L-lysine N6-acetyltransferase	C00227 + C00047 <=> C00009 + C02727	2.3.1.32
R01621	D-xylulose 5-phosphate D-glyceraldehyde-3-phosphate-lyase (adding phosphate; acetyl-phosphate-forming)	C00231 + C00009 <=> C00227 + C00118 + C00001	4.1.2.9
R01626	Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase	C00083 + C00229 <=> C00010 + C01209	2.3.1.39        2.3.1.85        2.3.1.86        2.3.1.-
R06171	L-allo-threonine acetaldehyde-lyase (glycine-forming)	C05519 <=> C00037 + C00084	4.1.2.5         4.1.2.49
R01624	acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase	C00024 + C00229 <=> C00010 + C03939	2.3.1.38        2.3.1.85        2.3.1.86        2.3.1.-
R01625	CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase	C00010 + C03688 <=> C00054 + C00229	2.7.8.7         2.7.8.-
R01199	2-oxobutanoate:ferredoxin 2-oxidoreductase (CoA-propanoylating)	2 C00139 + C00109 + C00010 <=> 2 C00138 + C00100 + C00011 + 2 C00080	1.2.7.1
R01628	3-hydroxybenzoate,NADPH:oxygen oxidoreductase (4-hydroxylating)	C00587 + C00007 + C00005 + C00080 <=> C00230 + C00006 + C00001	1.14.13.23
R06170	Galactoside alpha-1,2-L-fucosyltransferase	G10615 + G00038 <=> G10620 + G00039	2.4.1.69
R05752	arsenate:(acceptor) oxidoreductase	C06697 + C00028 <=> C11215 + C00030	1.20.99.1
R05753	acceptor:trichloroethene oxidoreductase (chlorinating)	C06790 + C00698 + C00028 <=> C06789 + C00030	1.97.1.8
R05750	deacetylisoipecoside dopamine-lyase	C03758 + C01852 <=> C07304 + C00001	4.3.3.3
R05751	arsenite:azurin oxidoreductase	C06697 + C00001 + 2 C05357 <=> C11215 + 2 C05358 + 2 C00080	1.20.9.1
R05756	S-adenosyl-L-methionine:methylarsonite As-methyltransferase	C00019 + C07295 <=> C00021 + C07308	2.1.1.137
R05757	S-adenosyl-L-methionine:3'-demethylstaurosporine O-methyltransferase	C00019 + C07349 <=> C00021 + C02079	2.1.1.139
R05754	S-adenosyl-L-methionine:trichlorophenol O-methyltransferase	C00019 + C07098 <=> C00021 + C11510	2.1.1.136
R05755	S-adenosyl-L-methionine:arsenite As-methyltransferase	C00019 + C06697 <=> C00021 + C07294	2.1.1.137
R05758	threo-3-hydroxy-L-aspartate ammonia-lyase	C11511 <=> C00036 + C00014	4.3.1.16
R05759	S-adenosyl-L-methionine:jasmonate O-methyltransferase	C00019 + C08491 <=> C00021 + C11512	2.1.1.141
R07930	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6'''-O-hydroxycinnamoyltransferase	C08725 + C00323 <=> C16371 + C00010	2.3.1.153
R07931	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6'''-O-hydroxycinnamoyltransferase	C08639 + C00323 <=> C16372 + C00010	2.3.1.153
R07932	UDP-alpha-D-glucuronate:cyanidin-3-O-(6-O-malonyl-beta-D-glucoside) 2-O-beta-D-glucuronosyltransferase	C12643 + C00167 <=> C16373 + C00015	2.4.1.254
R07933	alpha-linolenoyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (6,7 cis-dehydrogenating)	C16162 + 2 C00999 + C00007 + 2 C00080 <=> C16163 + 2 C00996 + 2 C00001	1.14.19.3
R07934		C16168 + C00016 <=> C16374 + C01352	1.3.3.6
R07935		C16375 <=> C16374 + C00001	4.2.1.-
R07936		C16375 + C00003 <=> C16376 + C00004 + C00080	1.1.1.211
R07937		C16169 + C00024 <=> C00010 + C16376	2.3.1.16
R07938	malonyl-CoA:anthocyanidin-3-O-beta-D-glucoside 6''-O-malonyltransferase	C12138 + C00083 <=> C16301 + C00010	2.3.1.171
R07939	caffeine:oxygen oxidoreductase (N3-demethylating)	C07481 + C00005 + C00007 + C00080 <=> C13747 + C00006 + C00067 + C00001	1.14.13.179     1.14.14.1
R09888	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (viridiflorene-forming)	C00448 <=> C20162 + C00013	4.2.3.88
R09889	(2E,6E)-farnesyl-diphosphate diphosphate-lyase [cyclizing, (+)-beta-caryophyllene-forming]	C00448 <=> C19973 + C00013	4.2.3.89
R01998	long-chain-alcohol:NAD+ oxidoreductase	C00339 + C00001 + 2 C00003 <=> C00347 + 2 C00004 + 2 C00080	1.1.1.192
R01999	Acyl-CoA:long-chain-alcohol O-acyltransferase	C00040 + C00339 <=> C00010 + C02434	2.3.1.75
R01990	4-Guanidinobutanoate amidinohydrolase	C01035 + C00001 <=> C00334 + C00086	3.5.3.7
R01991	L-histidine:4-aminobutanoate ligase (ADP-forming)	C00002 + C00135 + C00334 <=> C00008 + C00009 + C00884	6.3.2.11
R01992	alpha-Aminobutyryl histidine hydrolase	C00884 + C00001 <=> C00334 + C00135	3.4.13.18       3.4.13.20
R01993	(S)-dihydroorotate amidohydrolase	C00337 + C00001 <=> C00438	3.5.2.3
R01994	UDPglucose:lipopolysaccharide glucosyltransferase	C00029 + C00338 <=> C00015 + C03859	2.4.1.58        2.4.1.-
R01995	UDPglucose:arylamine N-D-glucosyltransferase	C00029 + C00338 <=> C00015 + C04266	2.4.1.73
R01996	UDP-N-acetyl-D-glucosamine:lipopolysaccharide N-acetylglucosaminyltransferase	C00043 + C00338 <=> C00015 + C04539	2.4.1.56
R01997	UDP-alpha-D-galactose:lipopolysaccharide 3-alpha-D-galactosyltransferase	C00052 + C00338 <=> C00015 + C04473	2.4.1.44
R05288		C06756 + C00007 + C00004 + C00080 <=> C06757 + C00003 + C00001	1.14.13.-
R05289	p-Methylbenzaldehyde:NADP+ oxidoreductase	C06758 + C00006 + C00001 <=> C01454 + C00005 + C00080	1.2.1.7         1.2.1.28
R01444	cellotriose glucohydrolase	C06219 + C00001 <=> C00185 + C00031	3.2.1.74
R01445	cellobiose 2-epimerase	C00185 <=> C02964	5.1.3.11
R01442	Cellobiose:oxygen 1-oxidoreductase	C00185 + C00007 <=> C01093 + C00027	1.1.99.18
R01443	Cellobiose:(acceptor) 1-oxidoreductase	C00185 + C00028 <=> C01093 + C00030	1.1.99.18
R01440	D-Xylulose-5-phosphate:formaldehyde glycolaldehydetransferase	C00231 + C00067 <=> C00118 + C00184	2.2.1.3
R01441	ATP:cellobiose 6-phosphotransferase	C00002 + C00185 <=> C00008 + C04534	2.7.1.85
R05280		C00230 + C00014 <=> C00568 + C00007 + 2 C00080	1.14.12.-
R05281		C06677 + C00007 + C00004 + C00080 <=> C06678 + C00003 + C00001	1.14.13.-
R05282	4-Methylbenzyl alcohol:NAD+ oxidoreductase	C06757 + C00003 <=> C06758 + C00004 + C00080	1.1.1.90
R05283	6-Hydroxyhexanoate:NAD oxidoreductase	C06103 + C00003 <=> C06102 + C00004 + C00080	1.1.1.258
R05284	1,2-Dichloroethane halidohydrolase	C06752 + C00001 <=> C06753 + C01327	3.8.1.5
R05285	2-chloroethanol:cytochrome c oxidoreductase	C06753 + 2 C00125 <=> C06754 + 2 C00126 + 2 C00080	1.1.2.8
R05286	Chloroacetaldehyde:NAD+ oxidoreductase	C06754 + C00003 + C00001 <=> C06755 + C00004 + C00080	1.2.1.3
R05287	Chloroacetic acid halidohydrolase	C06755 + C00001 <=> C00160 + C01327	3.8.1.2         3.8.1.3
R09088		C00180 + C00022 <=> C17268 + C00011	
R09089		C17268 <=> C08301	2.6.1.-
R09086	ADP:D-glucose 6-phosphotransferase	C00221 + C00008 <=> C01172 + C00020	2.7.1.147
R09087	ATP:1D-myo-inositol-hexakisphosphate 5-phosphotransferase	C00002 + C01204 <=> C00008 + C11526	2.7.4.21
R09084	ADP:D-fructose-6-phosphate 1-phosphotransferase	C05345 + C00008 <=> C05378 + C00020	2.7.1.146
R09085	ADP:D-glucose 6-phosphotransferase	C00267 + C00008 <=> C00668 + C00020	2.7.1.147
R09082	carboxynorspermidine carboxy-lyase (norspermidine-forming)	C18174 <=> C03375 + C00011	4.1.1.96
R09083		C01847 + C00007 <=> C03114 + C00279 + C00001	1.13.11.79
R09080	carboxynorspermidine:NADP+ oxidoreductase	C00986 + C00441 + C00005 + C00080 <=> C18174 + C00001 + C00006	1.5.1.43
R09081	carboxyspermidine carboxy-lyase (spermidine-forming)	C18172 <=> C00315 + C00011	4.1.1.96
R08967	ATP:N-acetyl-D-galactosamine 1-phosphotransferase	C01132 + C00002 <=> C18060 + C00008	2.7.1.157       2.7.1.162
R09257	feruloyl-CoA:putrescine feruloyltransferase	C00406 + C00134 <=> C00010 + C10497	2.3.1.-
R11018	D-arginine:acceptor oxidoreductase (deaminating)	C00792 + C00028 + C00001 <=> C03771 + C00014 + C00030	1.4.99.6
R11019	5,6,7,8-tetrahydromonapterin:NADP+ oxidoreductase	C21007 + C00006 <=> C21008 + C00005 + C00080	1.5.1.50
R11014	hercynine,L-cysteine:oxygen [S-(hercyn-2-yl)-L-cysteine S-oxide-forming]	C05575 + C00097 + C00007 <=> C20994 + C00001	1.14.99.51
R11015	L-histidine,L-cysteine:oxygen [S-(L-histidin-5-yl)-L-cysteine S-oxide-forming]	C00135 + C00097 + C00007 <=> C20993 + C00001	1.14.99.52
R11016		C00792 + C00028 <=> C21026 + C00030	1.4.99.6
R11017		C21026 + C00001 <=> C03771 + C00014	1.4.99.6
R11010	(4R)-4-hydroxysphinganine ceramide,ferrocytochrome b5:oxygen oxidoreductase (8,9-cis-dehydrogenating)	C12145 + 2 C00999 + C00007 + 2 C00080 <=> C21025 + 2 C00996 + 2 C00001	1.14.19.29
R11011	palmitoyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (14,15-trans-dehydrogenating)	C00154 + 2 C00999 + C00007 + 2 C00080 <=> C20996 + 2 C00996 + 2 C00001	1.14.19.32
R11012	palmitoyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (14,15-cis-dehydrogenating)	C00154 + 2 C00999 + C00007 + 2 C00080 <=> C20997 + 2 C00996 + 2 C00001	1.14.19.32
R11013	hercynine,gamma-L-glutamyl-L-cysteine:oxygen oxidoreductase [gamma-L-glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide-forming]	C05575 + C00669 + C00007 <=> C20995 + C00001	1.14.99.50
R08728	3beta,7alpha-dihydroxy-5-cholestenoate:NAD+ 3-oxidoreductase	C17335 + C00003 <=> C17337 + C00004 + C00080	1.1.1.181
R07668		C06672 + C00853 <=> C00230 + C06453	2.1.1.-
R04484	Acetyl-CoA:polysialic-acid O-acetyltransferase	C00024 + C04466 <=> C00010 + C04505	2.3.1.136
R04487	Taurodeoxycholate amidohydrolase	C05463 + C00001 <=> C04483 + C00245	3.5.1.24
R04486	Glycodeoxycholate amidohydrolase	C05464 + C00001 <=> C04483 + C00037	3.5.1.24
R04481	S-Adenosyl-L-methionine:2-(3-carboxy-3-aminopropyl)-L-histidine methyltransferase	C00019 + C04441 <=> C00021 + C04692	2.1.1.98
R04480	Acyl-CoA:1-acyl-sn-glycero-3-phosphoethanolamine O-acyltransferase	C00350 + C00010 <=> C04438 + C00040	2.3.1.23
R04483	3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate:NAD+ 3-oxidoreductase (decarboxylating)	C04840 + C00003 <=> C04453 + C00011 + C00004 + C00080	1.1.1.170
R04482	4-Carboxy-2-oxo-3-hexenedioate delta2,delta4-2-oxo,delta3-isomerase	C05364 <=> C04324	5.3.3.10
R07660		C00234 + C16153 <=> C00101 + C16154	2.1.2.13
R07661	UDP-4-deoxy-4-formamido-L-arabinose:undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinosyltransferase	C16154 + C17556 <=> C16156 + C00015	2.4.2.53
R07662	4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol amidohydrolase	C16156 + C00001 <=> C16157 + C00058	3.5.1.-
R07663		C06677 + C00007 <=> C01468 + C00059	1.14.13.-
R04489		C05375 <=> C04484	
R04488		C04484 + C00001 <=> C06035 + C00058	3.7.1.-
R07666	3-hydroxybenzaldehyde:NADP+ oxidoreductase	C03067 + C00006 + C00001 <=> C00587 + C00005 + C00080	1.2.1.7
R07667	3-hydroxybenzaldehyde:NAD+ oxidoreductase	C03067 + C00003 + C00001 <=> C00587 + C00004 + C00080	1.2.1.28        1.2.1.64
R03109	Acyl-CoA:1-O-alk-1-enyl-glycero-3-phosphocholine 2-O-acyltransferase	C00040 + C04517 <=> C00010 + C00958	2.3.1.25
R03105	3-Mercaptopyruvate:cyanide sulfurtransferase	C00957 + C00094 <=> C00320 + C00022	2.8.1.2
R03104	3-Mercaptolactate:NAD+ oxidoreductase	C05823 + C00003 <=> C00957 + C00004 + C00080	1.1.1.27
R03107	Plasmenylcholine 2-acylhydrolase	C00958 + C00001 <=> C04517 + C00162	3.1.1.4
